"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",11,"0","USGS-CO","8.3","9.1","12.6","","1991-03-19","8.45","10.8","","","6","FALSE","FALSE","Good"
"Aquatic_Life","Physical","pH","Std. Units","",298,"0","21COL001_WQX,CORIVWCH_WQX","7","8.18","9.7","","2012-04-19","7.82","8.4845","","","6.5, 9.0","TRUE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",110,"70","","0","0","5410","","2015-01-13","0","700","","","1250","FALSE","FALSE","Acceptable"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",99,"52","","0","0","3400","","2015-01-13","0","100","","","110","TRUE","FALSE","Concern"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",0,"","","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Data Gap"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",7,"6","USGS-CO","0","0","0.01","","1994-09-07","0","0.000999999999999997","","","0.05","FALSE","FALSE","Good"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",150,"27","21COL001_WQX,CORIVWCH_WQX","0","114","13000","","2013-05-15","0","501.25","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",113,"108","CORIVWCH_WQX","0","0","159","","2008-02-28","0","0","","","0.02","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",259,"236","USGS-CO,21COL001_WQX,CORIVWCH_WQX","0","0","1","","1991-06-05","0","0","","","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
"Aquatic_Life","Metals","Copper","ug/l","Dissolved",256,"170","USGS-CO,21COL001_WQX,CORIVWCH_WQX","0","0","20.8","","1996-04-22","0","1.675","","","exp(0.8545*(log(hardness))-1.7428)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Iron","ug/l","Total",311,"73","CORIVWCH_WQX","0","186","8015","","2005-05-23","0","865.5","","","1000","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Lead","ug/l","Dissolved",260,"250","USGS-CO,21COL001_WQX,CORIVWCH_WQX","0","0","4.1","","2006-06-27","0","0","","","(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Manganese","ug/l","Dissolved",259,"84","USGS-CO,21COL001_WQX,CORIVWCH_WQX","0","11","92","","1994-03-29","0","27.3","","","exp(0.3331*(log(hardness))+5.8743)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Mercury","ug/l","Total",41,"41","21COL001_WQX","","","","","","","","","","0.01","","","Poor Resolution"
"Aquatic_Life","Metals","Nickel","ug/l","Dissolved",46,"46","21COL001_WQX","","","","","","","","","","exp(0.846*(log(hardness))+0.0554)","","","Poor Resolution"
"Aquatic_Life","Metals","Selenium","ug/l","Dissolved",122,"101","USGS-CO,21COL001_WQX,CORIVWCH_WQX","0","0","37.2","","2007-09-25","0","0.527","","","4.6","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Silver","ug/l","Dissolved",58,"58","USGS-CO,21COL001_WQX","","","","","","","","","","exp(1.72*(log(hardness))-10.51)","","","Poor Resolution"
"Aquatic_Life","Metals","Thallium","ug/l","Dissolved",0,"","","","","","","","","","","","15","","","Data Gap"
