"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","6","","","Data Gap"
"Aquatic_Life","Physical","pH","Std. Units","",7,"0","21COL001,21COL001_WQX,CORIVWCH_WQX","8.14","8.42","8.75","","2017-08-21","8.167","8.606","","","6.5, 9.0","FALSE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","150","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",3,"0","","152","171","337","","2018-09-11","157.7","287.2","","","1250","FALSE","FALSE","Good"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",5,"0","","32.1","110","130","","2018-09-11","38.4","118","","","110","FALSE","FALSE","Acceptable"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",1,"1","21COL001","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Poor Resolution"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",3,"0","CORIVWCH_WQX","107","142","2223","","2008-05-23","117.5","1598.7","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",6,"2","CORIVWCH_WQX","0","3.6","17","","2007-09-04","0","7.61","","","0.02","TRUE","TRUE","Poor"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",7,"7","21COL001,21COL001_WQX,CORIVWCH_WQX","","","","","","","","","","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","","","Poor Resolution"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
"Aquatic_Life","Metals","Copper","ug/l","Dissolved",7,"6","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","1.6","","2008-05-23","0","0.159999999999999","","","exp(0.8545*(log(hardness))-1.7428)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Iron","ug/l","Total",7,"1","CORIVWCH_WQX","0","240","1271","","2008-05-23","63.9","1000.1","","","1000","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Lead","ug/l","Dissolved",7,"7","21COL001,21COL001_WQX,CORIVWCH_WQX","","","","","","","","","","(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)","","","Poor Resolution"
"Aquatic_Life","Metals","Manganese","ug/l","Dissolved",7,"4","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","5.2","","2018-09-11","0","4.39","","","exp(0.3331*(log(hardness))+5.8743)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Mercury","ug/l","Total",1,"1","21COL001","","","","","","","","","","0.01","","","Poor Resolution"
"Aquatic_Life","Metals","Nickel","ug/l","Dissolved",3,"3","21COL001_WQX","","","","","","","","","","exp(0.846*(log(hardness))+0.0554)","","","Poor Resolution"
"Aquatic_Life","Metals","Selenium","ug/l","Dissolved",11,"5","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","0.41","5.9","","2003-09-24","0","3.3","","","4.6","FALSE","FALSE","Acceptable"
"Aquatic_Life","Metals","Silver","ug/l","Dissolved",4,"4","21COL001,21COL001_WQX","","","","","","","","","","exp(1.72*(log(hardness))-10.51)","","","Poor Resolution"
"Aquatic_Life","Metals","Thallium","ug/l","Dissolved",0,"","","","","","","","","","","","15","","","Data Gap"
"Aquatic_Life","Metals","Uranium","ug/l","Dissolved",0,"","","","","","","","","","","","exp(1.1021*(log(hardness))+2.2382)","","","Data Gap"
"Aquatic_Life","Metals","Zinc","ug/l","Dissolved",7,"3","21COL001,21COL001_WQX,CORIVWCH_WQX","0","4.4","54","","2000-03-08","0","14.31","","","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","FALSE","FALSE","Good"
"Recreation","Contact","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","3","","","Data Gap"
"Recreation","Contact","E_coli","cfu/100ml","",0,"","","","","","","","","","","","630","","","Data Gap"
"Recreation","Contact","pH","Std. Units","",7,"0","21COL001,21COL001_WQX,CORIVWCH_WQX","8.14","8.42","8.75","","2017-08-21","8.167","8.606","","","6.5, 9.0","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Antimony","ug/l","Total",0,"","","","","","","","","","","","6","","","Data Gap"
"Human_Health","Water_Supply","Arsenic","ug/l","Total",6,"2","CORIVWCH_WQX","0","3.6","17","","2007-09-04","0","7.61","","","10","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Asbestos","fibers/L","",0,"","","","","","","","","","","","7,000,000","","","Data Gap"
"Human_Health","Water_Supply","Barium","ug/l","Total",0,"","","","","","","","","","","","490","","","Data Gap"
"Human_Health","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","4","","","Data Gap"
