"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","6","","","Data Gap"
"Aquatic_Life","Physical","pH","Std. Units","",55,"0","21COL001,21COL001_WQX,CORIVWCH_WQX","7.72","8.5","8.86","","2017-08-21","8.261","8.639","","","6.5, 9.0","FALSE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","150","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",16,"1","","0","1450","16240","",NA,"820","2370","","","1250","TRUE","TRUE","Poor"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",14,"2","","0","28.5","220","","2016-08-24","5.51","77.7999999999999","","","110","FALSE","FALSE","Good"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",2,"2","21COL001","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Poor Resolution"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",20,"9","CORIVWCH_WQX","0","54.5","21220","","2016-02-16","0","248.1","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",36,"19","CORIVWCH_WQX","0","0","12","","2016-06-30","0","7.95","","","0.02","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",52,"52","21COL001,21COL001_WQX,CORIVWCH_WQX","","","","","","","","","","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","","","Poor Resolution"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
