"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","6","","","Data Gap"
"Aquatic_Life","Physical","pH","Std. Units","",3,"0","21COL001_WQX","7.52","8.11","8.56","","2017-10-16","7.697","8.425","","","6.5, 9.0","FALSE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","150","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",3,"0","","173","498","944","","2018-09-10","270.5","810.2","","","1250","FALSE","FALSE","Good"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",3,"1","","0","14","21","","2017-10-16","4.2","18.9","","","110","FALSE","FALSE","Good"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",0,"","","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Data Gap"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",0,"","","","","","","","","","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","","","Data Gap"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",3,"0","","0.413","0.61","0.67","",NA,"0.4721","0.652","","","0.02","TRUE","TRUE","Poor"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",3,"3","21COL001_WQX","","","","","","","","","","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","","","Poor Resolution"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
"Aquatic_Life","Metals","Copper","ug/l","Dissolved",3,"3","21COL001_WQX","","","","","","","","","","exp(0.8545*(log(hardness))-1.7428)","","","Poor Resolution"
"Aquatic_Life","Metals","Iron","ug/l","Total",3,"1","","0","64.6","300","",NA,"19.38","229.38","","","1000","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Lead","ug/l","Dissolved",3,"2","21COL001_WQX","0","0","0.066","","2017-10-16","0","0.0462","","","(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Manganese","ug/l","Dissolved",3,"0","21COL001_WQX","3.8","9.5","11","","2017-10-16","5.51","10.55","","","exp(0.3331*(log(hardness))+5.8743)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Mercury","ug/l","Total",0,"","","","","","","","","","","","0.01","","","Data Gap"
"Aquatic_Life","Metals","Nickel","ug/l","Dissolved",3,"2","21COL001_WQX","0","0","7.3","","2018-09-10","0","5.11","","","exp(0.846*(log(hardness))+0.0554)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Selenium","ug/l","Dissolved",3,"0","21COL001_WQX","3.3","4.9","8.71","","2018-09-10","3.78","7.567","","","4.6","TRUE","TRUE","Poor"
"Aquatic_Life","Metals","Silver","ug/l","Dissolved",3,"3","21COL001_WQX","","","","","","","","","","exp(1.72*(log(hardness))-10.51)","","","Poor Resolution"
"Aquatic_Life","Metals","Thallium","ug/l","Dissolved",0,"","","","","","","","","","","","15","","","Data Gap"
"Aquatic_Life","Metals","Uranium","ug/l","Dissolved",0,"","","","","","","","","","","","exp(1.1021*(log(hardness))+2.2382)","","","Data Gap"
"Aquatic_Life","Metals","Zinc","ug/l","Dissolved",3,"2","21COL001_WQX","0","0","5.2","","2017-10-16","0","3.64","","","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","FALSE","FALSE","Good"
"Recreation","Contact","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","3","","","Data Gap"
"Recreation","Contact","E_coli","cfu/100ml","",0,"","","","","","","","","","","","630","","","Data Gap"
"Recreation","Contact","pH","Std. Units","",3,"0","21COL001_WQX","7.52","8.11","8.56","","2017-10-16","7.697","8.425","","","6.5, 9.0","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Antimony","ug/l","Total",0,"","","","","","","","","","","","6","","","Data Gap"
"Human_Health","Water_Supply","Arsenic","ug/l","Total",3,"0","","0.413","0.61","0.67","",NA,"0.4721","0.652","","","10","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Asbestos","fibers/L","",0,"","","","","","","","","","","","7,000,000","","","Data Gap"
"Human_Health","Water_Supply","Barium","ug/l","Total",0,"","","","","","","","","","","","490","","","Data Gap"
"Human_Health","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","4","","","Data Gap"
"Human_Health","Water_Supply","Cadmium","ug/l","Total",0,"","","","","","","","","","","","5","","","Data Gap"
"Human_Health","Water_Supply","Chloride","mg/l","Dissolved",0,"","","","","","","","","","","","250","","","Data Gap"
