"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","5","","","Data Gap"
"Aquatic_Life","Physical","pH","Std. Units","",30,"0","21COL001,21COL001_WQX,CORIVWCH_WQX,MIDCOWATERSHED","7.53","8.535","9.28","","2007-06-08","8.1425","8.6665","","","6.5, 9.0","TRUE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",7,"0","21COL001","1073","1378","2420","","2007-01-24","1298","2285","","","",NA,NA,NA
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","150","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",0,"","","","","","","","","","","","2010","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",2,"0","","17.1","77.55","138","","2016-04-27","35.235","119.865","","","170","FALSE","FALSE","Good"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",7,"7","21COL001,21COL001_WQX","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Poor Resolution"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",9,"0","CORIVWCH_WQX","450","1258","3555","","2018-03-16","464.4","1993","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","TRUE","FALSE","Concern"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",9,"8","CORIVWCH_WQX","0","0","77","","2007-04-20","0","0","","","0.02","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",31,"27","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","0.77","","2007-09-25","0","0","","","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
"Aquatic_Life","Metals","Copper","ug/l","Dissolved",31,"27","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","66","","2006-10-17","0","0","","","exp(0.8545*(log(hardness))-1.7428)","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Iron","ug/l","Total",31,"4","CORIVWCH_WQX","0","513","111000","",NA,"43.5","1953.5","","","1000","TRUE","FALSE","Concern"
"Aquatic_Life","Metals","Lead","ug/l","Dissolved",31,"24","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","5.9","","2007-09-25","0","1.15","","","(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Manganese","ug/l","Dissolved",31,"9","21COL001,21COL001_WQX,CORIVWCH_WQX","0","8","170","","2006-10-17","0","38.5","","","exp(0.3331*(log(hardness))+5.8743)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Mercury","ug/l","Total",1,"1","21COL001","","","","","","","","","","0.01","","","Poor Resolution"
"Aquatic_Life","Metals","Nickel","ug/l","Dissolved",7,"5","21COL001_WQX","0","0","5","","2011-10-25","0","3.2","","","exp(0.846*(log(hardness))+0.0554)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Selenium","ug/l","Dissolved",31,"14","21COL001,21COL001_WQX,CORIVWCH_WQX","0","1.8","13","","2007-01-24","0","5.45","","","4.6","TRUE","TRUE","Poor"
"Aquatic_Life","Metals","Silver","ug/l","Dissolved",22,"22","21COL001,21COL001_WQX","","","","","","","","","","exp(1.72*(log(hardness))-9.06)","","","Poor Resolution"
"Aquatic_Life","Metals","Thallium","ug/l","Dissolved",0,"","","","","","","","","","","","15","","","Data Gap"
"Aquatic_Life","Metals","Uranium","ug/l","Dissolved",0,"","","","","","","","","","","","exp(1.1021*(log(hardness))+2.2382)","","","Data Gap"
"Aquatic_Life","Metals","Zinc","ug/l","Dissolved",31,"20","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","110","","2006-10-17","0","15.5","","","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","FALSE","FALSE","Good"
"Recreation","Contact","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","3","","","Data Gap"
"Recreation","Contact","E_coli","cfu/100ml","",0,"","","","","","","","","","","","126","","","Data Gap"
"Recreation","Contact","pH","Std. Units","",30,"0","21COL001,21COL001_WQX,CORIVWCH_WQX,MIDCOWATERSHED","7.53","8.535","9.28","","2007-06-08","8.1425","8.6665","","","6.5, 9.0","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Antimony","ug/l","Total",0,"","","","","","","","","","","","6","","","Data Gap"
"Human_Health","Water_Supply","Arsenic","ug/l","Total",9,"8","CORIVWCH_WQX","0","0","77","","2007-04-20","0","0","","","10","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Asbestos","fibers/L","",0,"","","","","","","","","","","","7,000,000","","","Data Gap"
"Human_Health","Water_Supply","Barium","ug/l","Total",0,"","","","","","","","","","","","490","","","Data Gap"
"Human_Health","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","4","","","Data Gap"
"Human_Health","Water_Supply","Cadmium","ug/l","Total",9,"4","CORIVWCH_WQX","0","0.19","0.88","","2018-03-16","0","0.654","","","5","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Chloride","mg/l","Dissolved",0,"","","","","","","","","","","","250","","","Data Gap"
"Human_Health","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Copper","ug/l","Total",9,"4","CORIVWCH_WQX","0","2.4","10.8","","2018-03-16","0","6.96","","","1000","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.2","","","Data Gap"
"Human_Health","Water_Supply","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","3","","","Data Gap"
"Human_Health","Water_Supply","E_coli","cfu/100ml","",0,"","","","","","","","","","","","630","","","Data Gap"
"Human_Health","Water_Supply","Fluoride","mg/l","Dissolved",0,"","","","","","","","","","","","2","","","Data Gap"
"Human_Health","Water_Supply","Iron","ug/l","Dissolved",31,"9","21COL001,21COL001_WQX,CORIVWCH_WQX","0","30","3200","","2006-10-17","0","65","","","300","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Lead","ug/l","Total",9,"3","CORIVWCH_WQX","0","4.3","7.3","","2007-09-25","0","5.72","","","50","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Manganese","ug/l","Dissolved",31,"9","21COL001,21COL001_WQX,CORIVWCH_WQX","0","8","170","","2006-10-17","0","38.5","","","50","TRUE","FALSE","Concern"
"Human_Health","Water_Supply","Mercury","ug/l","Total",1,"1","21COL001","","","","","","","","","","2","","","Poor Resolution"
"Human_Health","Water_Supply","Molybdenum","ug/l","Total",4,"4","21COL001_WQX","","","","","","","","","","210","","","Poor Resolution"
"Human_Health","Water_Supply","Nickel","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Water_Supply","Nitrate_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","10","","","Data Gap"
"Human_Health","Water_Supply","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","1","","","Data Gap"
"Human_Health","Water_Supply","pH","Std. Units","",30,"0","21COL001,21COL001_WQX,CORIVWCH_WQX,MIDCOWATERSHED","7.53","8.535","9.28","","2007-06-08","8.1425","8.6665","","","5.0, 9.0","TRUE","FALSE","Good"
"Human_Health","Water_Supply","Selenium","ug/l","Total",9,"7","CORIVWCH_WQX","0","0","24.9","","2007-09-25","0","7.92","","","50","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Silver","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Water_Supply","Sulfate","mg/l","Dissolved",0,"","","","","","","","","","","","250","","","Data Gap"
"Human_Health","Water_Supply","Sulfide_H2S","mg/l","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Human_Health","Water_Supply","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.5","","","Data Gap"
"Human_Health","Water_Supply","Uranium","ug/l","Total",0,"","","","","","","","","","","","16.8","","","Data Gap"
"Human_Health","Water_Supply","Zinc","ug/l","Total",9,"4","CORIVWCH_WQX","0","5.1","14.9","","2007-09-25","0","11.94","","","5000","FALSE","FALSE","Good"
"Human_Health","Fish_Ingestion","Antimony","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Fish_Ingestion","Arsenic","ug/l","Total",9,"8","CORIVWCH_WQX","0","0","77","","2007-04-20","0","0","","","",NA,"TRUE",NA
"Human_Health","Fish_Ingestion","Nickel","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Fish_Ingestion","Selenium","ug/l","Total",9,"7","CORIVWCH_WQX","0","0","24.9","","2007-09-25","0","7.92","","","",NA,"TRUE",NA
"Human_Health","Fish_Ingestion","Thallium","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Fish_Ingestion","Zinc","ug/l","Total",9,"4","CORIVWCH_WQX","0","5.1","14.9","","2007-09-25","0","11.94","","","",NA,"TRUE",NA
"Human_Health","Fish_Water","Antimony","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Fish_Water","Arsenic","ug/l","Total",9,"8","CORIVWCH_WQX","0","0","77","","2007-04-20","0","0","","","",NA,"TRUE",NA
"Human_Health","Fish_Water","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Fish_Water","Copper","ug/l","Total",9,"4","CORIVWCH_WQX","0","2.4","10.8","","2018-03-16","0","6.96","","","",NA,NA,NA
"Human_Health","Fish_Water","Nickel","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Fish_Water","Selenium","ug/l","Total",9,"7","CORIVWCH_WQX","0","0","24.9","","2007-09-25","0","7.92","","","",NA,NA,NA
"Human_Health","Fish_Water","Thallium","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Fish_Water","Zinc","ug/l","Total",9,"4","CORIVWCH_WQX","0","5.1","14.9","","2007-09-25","0","11.94","","","",NA,NA,NA
"Agriculture","Water_Supply","Arsenic","ug/l","Total",9,"8","CORIVWCH_WQX","0","0","77","","2007-04-20","0","0","","","100","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Boron","mg/l","Dissolved",0,"","","","","","","","","","","","0.75","","","Data Gap"
"Agriculture","Water_Supply","Cadmium","ug/l","Total",9,"4","CORIVWCH_WQX","0","0.19","0.88","","2018-03-16","0","0.654","","","10","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Agriculture","Water_Supply","Copper","ug/l","Total",9,"4","CORIVWCH_WQX","0","2.4","10.8","","2018-03-16","0","6.96","","","200","FALSE","FALSE","Good"
"Agriculture","Water_Supply","Cyanide","mg/l","Dissolved",0,"","","","","","","","","","","","0.2","","","Data Gap"
