"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","5","","","Data Gap"
"Aquatic_Life","Physical","pH","Std. Units","",2,"0","21COL001_WQX","8.34","8.925","9.51","","2017-01-18","8.5155","9.3345","","","6.5, 9.0","TRUE","TRUE","Poor"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","150","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",1,"0","","1970","1970","1970","","2017-01-18","1970","1970","","","1250","TRUE","TRUE","Poor"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",1,"0","","740","740","740","","2017-01-18","740","740","","","110","TRUE","TRUE","Poor"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",0,"","","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Data Gap"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",0,"","","","","","","","","","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","","","Data Gap"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",1,"0","","6.5","6.5","6.5","",NA,"6.5","6.5","","","0.02","TRUE","TRUE","Poor"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",2,"2","21COL001_WQX","","","","","","","","","","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","","","Poor Resolution"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
"Aquatic_Life","Metals","Copper","ug/l","Dissolved",2,"0","21COL001_WQX","9.4","39.7","70","","2011-10-25","18.49","60.91","","","exp(0.8545*(log(hardness))-1.7428)","TRUE","TRUE","Poor"
"Aquatic_Life","Metals","Iron","ug/l","Total",2,"0","","1100","5150","9200","",NA,"2315","7985","","","1000","TRUE","TRUE","Poor"
"Aquatic_Life","Metals","Lead","ug/l","Dissolved",2,"2","21COL001_WQX","","","","","","","","","","(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)","","","Poor Resolution"
"Aquatic_Life","Metals","Manganese","ug/l","Dissolved",2,"0","21COL001_WQX","2.7","4.85","7","","2011-10-25","3.345","6.355","","","exp(0.3331*(log(hardness))+5.8743)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Mercury","ug/l","Total",0,"","","","","","","","","","","","0.01","","","Data Gap"
"Aquatic_Life","Metals","Nickel","ug/l","Dissolved",2,"1","21COL001_WQX","0","1.5","3","","2011-10-25","0.45","2.55","","","exp(0.846*(log(hardness))+0.0554)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Selenium","ug/l","Dissolved",2,"0","21COL001_WQX","1","1.3","1.6","","2011-10-25","1.09","1.51","","","4.6","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Silver","ug/l","Dissolved",2,"2","21COL001_WQX","","","","","","","","","","exp(1.72*(log(hardness))-10.51)","","","Poor Resolution"
"Aquatic_Life","Metals","Thallium","ug/l","Dissolved",0,"","","","","","","","","","","","15","","","Data Gap"
"Aquatic_Life","Metals","Uranium","ug/l","Dissolved",0,"","","","","","","","","","","","exp(1.1021*(log(hardness))+2.2382)","","","Data Gap"
"Aquatic_Life","Metals","Zinc","ug/l","Dissolved",2,"1","21COL001_WQX","0","44.5","89","","2011-10-25","13.35","75.65","","","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","FALSE","FALSE","Good"
"Recreation","Contact","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","3","","","Data Gap"
"Recreation","Contact","E_coli","cfu/100ml","",0,"","","","","","","","","","","","630","","","Data Gap"
"Recreation","Contact","pH","Std. Units","",2,"0","21COL001_WQX","8.34","8.925","9.51","","2017-01-18","8.5155","9.3345","","","6.5, 9.0","TRUE","TRUE","Poor"
"Human_Health","Water_Supply","Antimony","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Water_Supply","Arsenic","ug/l","Total",1,"0","","6.5","6.5","6.5","",NA,"6.5","6.5","","","",NA,NA,NA
"Human_Health","Water_Supply","Asbestos","fibers/L","",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Water_Supply","Barium","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Water_Supply","Cadmium","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Water_Supply","Chloride","mg/l","Dissolved",0,"","","","","","","","","","","","","","","Data Gap"
"Human_Health","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","","","","Data Gap"
