"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",14,"0","USGS-CO","7.3","9.3","11.8","","1989-11-16","8.2","10.325","","","6","FALSE","FALSE","Good"
"Aquatic_Life","Physical","pH","Std. Units","",29,"0","21COL001,21COL001_WQX,CORIVWCH_WQX","7.97","8.52","8.9","","2008-07-15","8.35","8.7","","","6.5, 9.0","FALSE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",3,"0","21COL001","1.075","300","1243","","2007-04-18","90.7525","960.1","","","",NA,NA,NA
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","150","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",29,"28","USGS-CO","0","0","322","","2016-07-26","0","0","","","1250","FALSE","FALSE","Good"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",20,"4","USGS-CO","0","34.5","129","","2015-06-16","0","93","","","110","TRUE","FALSE","Concern"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",12,"12","21COL001,21COL001_WQX","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Poor Resolution"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",6,"6","USGS-CO","","","","","","","","","","0.05","","","Poor Resolution"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",14,"0","CORIVWCH_WQX","102.7","447.4","8500","","1989-05-10","249.35","4480","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","TRUE","FALSE","Concern"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",19,"14","USGS-CO,CORIVWCH_WQX","0","0","38.1","","2008-07-15","0","1.27","","","0.02","TRUE","FALSE","Good"
