"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","6","","","Data Gap"
"Aquatic_Life","Physical","pH","Std. Units","",46,"0","21COL001,21COL001_WQX,CORIVWCH_WQX","7.69","8.45","9.24","","2007-11-06","8.2","8.6025","","","6.5, 9.0","TRUE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",4,"0","21COL001","883","1237.5","1550","","2006-08-24","995.5","1456.4","","","",NA,NA,NA
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","150","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",0,"","","","","","","","","","","","1250","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",4,"1","","0","48.3","63.8","","2017-06-09","20.385","58.175","","","110","FALSE","FALSE","Acceptable"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",22,"22","21COL001,21COL001_WQX","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Poor Resolution"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",10,"0","CORIVWCH_WQX","5","599.5","4707","","2017-08-11","332.59","1567.4","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",10,"6","CORIVWCH_WQX","0","0","13","","2017-07-14","0","8","","","0.02","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",43,"41","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","0.56","","1996-06-17","0","0","","","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
"Aquatic_Life","Metals","Copper","ug/l","Dissolved",43,"30","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","10","","1995-11-02","0","4.91","","","exp(0.8545*(log(hardness))-1.7428)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Iron","ug/l","Total",44,"1","CORIVWCH_WQX","0","450","12000","",NA,"104.5","3385","27.3095238095238","0.0257838706177331","1000","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Lead","ug/l","Dissolved",43,"39","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","5","","2008-04-22","0","0","","","(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Manganese","ug/l","Dissolved",43,"15","21COL001,21COL001_WQX,CORIVWCH_WQX","0","5","230","","2008-04-22","0","17","","","exp(0.3331*(log(hardness))+5.8743)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Mercury","ug/l","Total",0,"","","","","","","","","","","","0.01","","","Data Gap"
"Aquatic_Life","Metals","Nickel","ug/l","Dissolved",1,"0","21COL001_WQX","7.1","7.1","7.1","","2014-03-26","7.1","7.1","","","exp(0.846*(log(hardness))+0.0554)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Selenium","ug/l","Dissolved",40,"10","21COL001,21COL001_WQX,CORIVWCH_WQX","0","2.15","5","","1995-10-18","0","3.745","","","4.6","TRUE","FALSE","Concern"
"Aquatic_Life","Metals","Silver","ug/l","Dissolved",29,"29","21COL001,21COL001_WQX","","","","","","","","","","exp(1.72*(log(hardness))-10.51)","","","Poor Resolution"
"Aquatic_Life","Metals","Thallium","ug/l","Dissolved",0,"","","","","","","","","","","","15","","","Data Gap"
"Aquatic_Life","Metals","Uranium","ug/l","Dissolved",0,"","","","","","","","","","","","exp(1.1021*(log(hardness))+2.2382)","","","Data Gap"
"Aquatic_Life","Metals","Zinc","ug/l","Dissolved",42,"31","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","54","","2008-04-22","0","22","","","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","FALSE","FALSE","Good"
"Recreation","Contact","Dissolved_Oxygen","mg/l","Dissolved",0,"","","","","","","","","","","","3","","","Data Gap"
"Recreation","Contact","E_coli","cfu/100ml","",0,"","","","","","","","","","","","205","","","Data Gap"
"Recreation","Contact","pH","Std. Units","",46,"0","21COL001,21COL001_WQX,CORIVWCH_WQX","7.69","8.45","9.24","","2007-11-06","8.2","8.6025","","","6.5, 9.0","TRUE","FALSE","Good"
