"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",227,"0","USGS-CO","6.5","9.6","14.4","","1998-01-13","8.2","11.8","","","7","TRUE","FALSE","Good"
"Aquatic_Life","Physical","pH","Std. Units","",323,"0","21COL001_WQX,CORIVWCH_WQX","7.08","8.12","9.2","","2007-09-25","7.8","8.36","","","6.5,9.0","TRUE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",0,"","","","","","","","","","","","23.9,13.0","","","Data Gap"
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","500","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","150","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",0,"","","","","","","","","","","","1250","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",23,"7","","0","40","1600","","2013-05-16","0","167","","","110","TRUE","TRUE","Poor"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",10,"10","21COL001","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Poor Resolution"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",3,"3","USGS-CO","","","","","","","","","","0.05","","","Poor Resolution"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",175,"13","21COL001_WQX,CORIVWCH_WQX","0","149","15000","","2013-05-15","59.2","774.2","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",161,"152","CORIVWCH_WQX","0","0","825","","2008-04-15","0","0","","","0.02","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",270,"222","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","0.6","","2003-10-23","0","0.1865","0","2.92450139178779e-05","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
"Aquatic_Life","Metals","Copper","ug/l","Dissolved",266,"183","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","14","","2002-06-20","0","1.8","","","exp(0.8545*(log(hardness))-1.7428)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Iron","ug/l","Total",326,"26","CORIVWCH_WQX","0","256","9357","","2008-05-22","109.75","1116","","","1000","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Lead","ug/l","Dissolved",275,"269","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","5.6","","2013-09-11","0","0","","","(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Manganese","ug/l","Dissolved",279,"47","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","16.3","81","","1996-05-15","0","33.87","-0.522842261904762","4.41070880574657e-06","exp(0.3331*(log(hardness))+5.8743)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Mercury","ug/l","Total",25,"25","21COL001,21COL001_WQX","","","","","","","","","","0.01","","","Poor Resolution"
"Aquatic_Life","Metals","Nickel","ug/l","Dissolved",14,"14","21COL001_WQX","","","","","","","","","","exp(0.846*(log(hardness))+0.0554)","","","Poor Resolution"
"Aquatic_Life","Metals","Selenium","ug/l","Dissolved",143,"124","USGS-CO,21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","66.6","","2007-12-12","0","0","","","4.6","TRUE","FALSE","Good"
"Aquatic_Life","Metals","Silver","ug/l","Dissolved",24,"24","21COL001,21COL001_WQX","","","","","","","","","","exp(1.72*(log(hardness))-10.51)","","","Poor Resolution"
"Aquatic_Life","Metals","Thallium","ug/l","Dissolved",0,"","","","","","","","","","","","15","","","Data Gap"
"Aquatic_Life","Metals","Uranium","ug/l","Dissolved",0,"","","","","","","","","","","","exp(1.1021*(log(hardness))+2.2382)","","","Data Gap"
"Aquatic_Life","Metals","Zinc","ug/l","Dissolved",243,"126","21COL001,21COL001_WQX,CORIVWCH_WQX","0","0","72","","2003-10-23","0","19","0","0.00199187138567458","0.986*exp(0.9094*(log(hardness))+0.6235)","FALSE","FALSE","Good"
"Recreation","Contact","Dissolved_Oxygen","mg/l","Dissolved",227,"0","USGS-CO","6.5","9.6","14.4","","1998-01-13","8.2","11.8","","","3","FALSE","FALSE","Good"
