"UseClass","Category","Indicator","Units","valueType","n","Censored","Organization","Minimum","Median","Maximum","Severity","DateOfMax","Percentile_15th","Percentile_85th","Kendal_Slope","Kendal_pValue","standard","StandardsExceeded","Impaired","Assessment"
"Aquatic_Life","Physical","Dissolved_Oxygen","mg/l","Dissolved",1,"1","NARS_WQX","","","","","","","","","","7","","","Poor Resolution"
"Aquatic_Life","Physical","pH","Std. Units","",6,"0","CORIVWCH_WQX,NARS,NARS_WQX","7.6","8.595","8.66","","2012-10-19","8.275","8.615","","","6.5,9.0","FALSE","FALSE","Good"
"Aquatic_Life","Physical","Specific_Conductance","umho/cm","",4,"0","21COL001","273","283.5","297","","2006-08-28","277.05","291.6","","","",NA,NA,NA
"Aquatic_Life","Physical","Suspended Solids","mg/l","Total",0,"","","","","","","","","","","","","","",""
"Aquatic_Life","Physical","Temperature","","",0,"","","","","","","","","","","","","","","Data Gap"
"Aquatic_Life","Nutrients","Chlorophyll_a","mg/m^2","",0,"","","","","","","","","","","","150","","","Data Gap"
"Aquatic_Life","Nutrients","Total_Nitrogen","ug/l","Total",1,"0","NARS_WQX","109","109","109","","2002-07-23","109","109","","","1250","FALSE","FALSE","Good"
"Aquatic_Life","Nutrients","Total_Phosphorus","ug/l","Total",2,"2","","","","","","","","","","","110","","","Poor Resolution"
"Aquatic_Life","Inorganics","Ammonia","mg/l as N","Total",7,"7","21COL001","","","","","","","","","","((0.0577/(1+10^7.688-pH))+(2.487/(1+10^(pH-7.688)))*min(2.85, 1.45*10^(0.028*(25-temp))))","","","Poor Resolution"
"Aquatic_Life","Inorganics","Chlorine","mg/l","Total Residual",0,"","","","","","","","","","","","0.011","","","Data Gap"
"Aquatic_Life","Inorganics","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.005","","","Data Gap"
"Aquatic_Life","Inorganics","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Aquatic_Life","Inorganics","Sulfide_H2S","mg/l","",0,"","","","","","","","","","","","0.002","","","Data Gap"
"Aquatic_Life","Metals","Aluminum","ug/l","Total",3,"2","CORIVWCH_WQX","0","0","49","","2012-10-19","0","34.3","","","ifelse(pH >= 7.0, exp(1.3695*(log(hardness))-0.1158), min(87, exp(1.3695*(log(hardness))-0.1158)))","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Arsenic","ug/l","Total",3,"3","CORIVWCH_WQX","","","","","","","","","","0.02","","","Poor Resolution"
"Aquatic_Life","Metals","Cadmium","ug/l","Dissolved",10,"10","21COL001,CORIVWCH_WQX","","","","","","","","","","1.101672-(log(hardness)*(0.041838))*exp(0.7998*(log(hardness))-4.4451)","","","Poor Resolution"
"Aquatic_Life","Metals","Chromium_III","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.819*(log(hardness))-0.5340)","","","Data Gap"
"Aquatic_Life","Metals","Chromium_VI","ug/l","Dissolved",0,"","","","","","","","","","","","11","","","Data Gap"
"Aquatic_Life","Metals","Copper","ug/l","Dissolved",10,"10","21COL001,CORIVWCH_WQX","","","","","","","","","","exp(0.8545*(log(hardness))-1.7428)","","","Poor Resolution"
"Aquatic_Life","Metals","Iron","ug/l","Total",10,"7","CORIVWCH_WQX","0","0","72","","2012-10-19","0","13.3","","","1000","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Lead","ug/l","Dissolved",10,"10","21COL001,CORIVWCH_WQX","","","","","","","","","","(1.46203-(log(hardness)*0.145712))*exp(1.273*(log(hardness))-4.705)","","","Poor Resolution"
"Aquatic_Life","Metals","Manganese","ug/l","Dissolved",10,"9","21COL001,CORIVWCH_WQX","0","0","4","","2001-10-23","0","0","","","exp(0.3331*(log(hardness))+5.8743)","FALSE","FALSE","Good"
"Aquatic_Life","Metals","Mercury","ug/l","Total",3,"3","21COL001","","","","","","","","","","0.01","","","Poor Resolution"
"Aquatic_Life","Metals","Nickel","ug/l","Dissolved",0,"","","","","","","","","","","","exp(0.846*(log(hardness))+0.0554)","","","Data Gap"
"Aquatic_Life","Metals","Selenium","ug/l","Dissolved",11,"11","21COL001,CORIVWCH_WQX,NARS","","","","","","","","","","4.6","","","Poor Resolution"
"Aquatic_Life","Metals","Silver","ug/l","Dissolved",7,"7","21COL001","","","","","","","","","","exp(1.72*(log(hardness))-10.51)","","","Poor Resolution"
"Aquatic_Life","Metals","Thallium","ug/l","Dissolved",0,"","","","","","","","","","","","15","","","Data Gap"
"Aquatic_Life","Metals","Uranium","ug/l","Dissolved",1,"1","21COL001","","","","","","","","","","exp(1.1021*(log(hardness))+2.2382)","","","Poor Resolution"
"Aquatic_Life","Metals","Zinc","ug/l","Dissolved",11,"9","21COL001,CORIVWCH_WQX,NARS","0","0","33","","2001-10-23","0","14","","","ifelse(hardness < 102, 0.986*exp(0.9094*(log(hardness))+0.6235), exp(2.140*(log(hardness))-5.084))","FALSE","FALSE","Good"
"Recreation","Contact","Dissolved_Oxygen","mg/l","Dissolved",1,"1","NARS_WQX","","","","","","","","","","3","","","Poor Resolution"
"Recreation","Contact","E_coli","cfu/100ml","",0,"","","","","","","","","","","","126","","","Data Gap"
"Recreation","Contact","pH","Std. Units","",6,"0","CORIVWCH_WQX,NARS,NARS_WQX","7.6","8.595","8.66","","2012-10-19","8.275","8.615","","","6.5,9.0","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Antimony","ug/l","Total",0,"","","","","","","","","","","","6","","","Data Gap"
"Human_Health","Water_Supply","Arsenic","ug/l","Total",3,"3","CORIVWCH_WQX","","","","","","","","","","10","","","Poor Resolution"
"Human_Health","Water_Supply","Asbestos","fibers/L","",0,"","","","","","","","","","","","7,000,000","","","Data Gap"
"Human_Health","Water_Supply","Barium","ug/l","Total",0,"","","","","","","","","","","","490","","","Data Gap"
"Human_Health","Water_Supply","Beryllium","ug/l","Total",0,"","","","","","","","","","","","4","","","Data Gap"
"Human_Health","Water_Supply","Cadmium","ug/l","Total",3,"3","CORIVWCH_WQX","","","","","","","","","","5","","","Poor Resolution"
"Human_Health","Water_Supply","Chloride","mg/l","Dissolved",0,"","","","","","","","","","","","250","","","Data Gap"
"Human_Health","Water_Supply","Chromium_III","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","50","","","Data Gap"
"Human_Health","Water_Supply","Copper","ug/l","Total",3,"3","CORIVWCH_WQX","","","","","","","","","","1000","","","Poor Resolution"
"Human_Health","Water_Supply","Cyanide","mg/l","Free Available",0,"","","","","","","","","","","","0.2","","","Data Gap"
"Human_Health","Water_Supply","Dissolved_Oxygen","mg/l","Dissolved",1,"1","NARS_WQX","","","","","","","","","","3","","","Poor Resolution"
"Human_Health","Water_Supply","E_coli","cfu/100ml","",0,"","","","","","","","","","","","630","","","Data Gap"
"Human_Health","Water_Supply","Fluoride","mg/l","Dissolved",0,"","","","","","","","","","","","2","","","Data Gap"
"Human_Health","Water_Supply","Iron","ug/l","Dissolved",10,"10","21COL001,CORIVWCH_WQX","","","","","","","","","","300","","","Poor Resolution"
"Human_Health","Water_Supply","Lead","ug/l","Total",3,"3","CORIVWCH_WQX","","","","","","","","","","50","","","Poor Resolution"
"Human_Health","Water_Supply","Manganese","ug/l","Dissolved",10,"9","21COL001,CORIVWCH_WQX","0","0","4","","2001-10-23","0","0","","","50","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Mercury","ug/l","Total",3,"3","21COL001","","","","","","","","","","2","","","Poor Resolution"
"Human_Health","Water_Supply","Molybdenum","ug/l","Total",0,"","","","","","","","","","","","210","","","Data Gap"
"Human_Health","Water_Supply","Nickel","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Water_Supply","Nitrate_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","10","","","Data Gap"
"Human_Health","Water_Supply","Nitrite_N","mg/l as N","Dissolved",0,"","","","","","","","","","","","1","","","Data Gap"
"Human_Health","Water_Supply","pH","Std. Units","",6,"0","CORIVWCH_WQX,NARS,NARS_WQX","7.6","8.595","8.66","","2012-10-19","8.275","8.615","","","5.0,9.0","FALSE","FALSE","Good"
"Human_Health","Water_Supply","Selenium","ug/l","Total",4,"4","CORIVWCH_WQX,NARS_WQX","","","","","","","","","","50","","","Poor Resolution"
"Human_Health","Water_Supply","Silver","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Water_Supply","Sulfate","mg/l","Dissolved",0,"","","","","","","","","","","","250","","","Data Gap"
"Human_Health","Water_Supply","Sulfide_H2S","mg/l","Dissolved",0,"","","","","","","","","","","","0.05","","","Data Gap"
"Human_Health","Water_Supply","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.5","","","Data Gap"
"Human_Health","Water_Supply","Uranium","ug/l","Total",0,"","","","","","","","","","","","16.8","","","Data Gap"
"Human_Health","Water_Supply","Zinc","ug/l","Total",3,"3","CORIVWCH_WQX","","","","","","","","","","5000","","","Poor Resolution"
"Human_Health","Fish_Ingestion","Antimony","ug/l","Total",0,"","","","","","","","","","","","640","","","Data Gap"
"Human_Health","Fish_Ingestion","Arsenic","ug/l","Total",3,"3","CORIVWCH_WQX","","","","","","","","","","7.6","","","Poor Resolution"
"Human_Health","Fish_Ingestion","Nickel","ug/l","Total",0,"","","","","","","","","","","","4600","","","Data Gap"
"Human_Health","Fish_Ingestion","Selenium","ug/l","Total",4,"4","CORIVWCH_WQX,NARS_WQX","","","","","","","","","","4200","","","Poor Resolution"
"Human_Health","Fish_Ingestion","Thallium","ug/l","Total",0,"","","","","","","","","","","","0.47","","","Data Gap"
"Human_Health","Fish_Ingestion","Zinc","ug/l","Total",3,"3","CORIVWCH_WQX","","","","","","","","","","26000","","","Poor Resolution"
"Human_Health","Fish_Water","Antimony","ug/l","Total",0,"","","","","","","","","","","","5.6","","","Data Gap"
"Human_Health","Fish_Water","Arsenic","ug/l","Total",3,"3","CORIVWCH_WQX","","","","","","","","","","0.02","","","Poor Resolution"
"Human_Health","Fish_Water","Chromium_VI","ug/l","Total",0,"","","","","","","","","","","","100","","","Data Gap"
"Human_Health","Fish_Water","Copper","ug/l","Total",3,"3","CORIVWCH_WQX","","","","","","","","","","1300","","","Poor Resolution"
"Human_Health","Fish_Water","Nickel","ug/l","Total",0,"","","","","","","","","","","","610","","","Data Gap"
