UseClass,Category,Indicator,CharacteristicNames,Units,valueType,standardType,COLCLC01,COLCLC02a,COUCUC04,COLCLC04a,COLCLC04c,COLCLC04d,COLCLC04e,COLCLC04f,COLCLC05,COLCLC06,COLCLC07a,COLCLC07b,COLCLC08,COLCLC09a,COLCLC09c,COLCLC10,COLCLC11a,COLCLC11b,COLCLC11d,COLCLC11e,COLCLC11f,COLCLC11g,COLCLC11h,COLCLC12a,COLCLC12b,COLCLC13a,COLCLC13b,COLCLC14a,COLCLC14b,COLCLC14c,COLCLC15c,COUCUC03,COUCUC04
Aquatic_Life,Biology,Algae,"Algae, floating mat - severity (choice list);Algae, floating mats (severity);;;;;;",code,,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic_Life,Biology,Macrophyton,Macrophyton;;;;;;;,code,,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic_Life,Biology,Invertebrates,Invertebrates;CO_MMI_2010;;;;;;,score,,mmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic_Life,Biology,Fish,Fish;;;;;;;,unitless,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic_Life,Biology,Dead_Fish,"Dead fish, severity;;;;;;;",code,,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic_Life,Physical,Dissolved_Oxygen,Dissolved oxygen (DO);Oxygen;Dissolved Oxygen;;;;;,mg/l,Dissolved,DO,6,5,7,6,5,5,5,6,6,5,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,5,5,6,6,5,6,7,7
Aquatic_Life,Physical,pH,pH;;;;;;;,Std. Units,,range,"6.5, 9.0","6.5, 9.0","6.5,9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5, 9.0","6.5,9.0","6.5,9.0"
Aquatic_Life,Physical,Specific_Conductance,Conductivity;Specific conductance;;;;;;,umho/cm,,thirty_day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.9,13.0","21.7,13.0"
Aquatic_Life,Physical,Suspended Solids,Suspended Solids;Total Suspended Solids;;;;;;,mg/l,Total,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500
Aquatic_Life,Physical,Temperature,"Temperature; Temperature, water;;;;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquatic_Life,Nutrients,Total_Phosphorus,"Phosphorus;Phosphorus,Total;Total Phosphorous;Total Phosphorus;Total Phosphorus, mixed forms;;;",ug/l,Total,annual_median,110,110,110,110,170,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,170,170,110,110,170,,110,110
Aquatic_Life,Nutrients,Total_Nitrogen,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3);Nitrogen; Total Nitrogen;;;;;",ug/l,Total,annual_median,1250,1250,1250,1250,2010,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,2010,2010,1250,1250,2010,,1250,1250
Aquatic_Life,Nutrients,Chlorophyll_a,"Chlorophyll a;Chlorophyll a (probe relative fluorescence);Chlorophyll a (probe);Chlorophyll a - Periphyton (attached);Chlorophyll a - Phytoplankton (suspended);Chlorophyll a, corrected for pheophytin;Chlorophyll a, free of pheophytin;Chlorophyll a, uncorrected for pheophytin",mg/m^2,,summer_max,,,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,,150,150
