OrganizationID,OrganizationName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationType,HUC8,Latitude,Longitude,VerticalMe,OBJECTID,SGEOID,WBID,AUID,Cat,PortionDes,distance,SegmentID
USGS-CO,USGS Colorado Water Science Center,USGS-09085100,"COLORADO RIVER BELOW GLENWOOD SPRINGS, CO",Stream,14010005,39.5549819,-107.337554,5700.75,26786,34902,COLCLC01,COLCLC01_B,5,Colorado River from Roaring Fork to Paradise Creek,23.0261692,COLCLC01_B
USGS-CO,USGS Colorado Water Science Center,USGS-09085150,COLORADO R ABV SOUTH CANYON CR NR GLENWOOD SPGS CO,Stream,14010005,39.5616667,-107.4066667,5640,26826,34945,COLCLC01,COLCLC01_A,5,Colorado River from Paradise Creek to below the confluence with Rifle Creek,36.21959419,COLCLC01_A
USGS-CO,USGS Colorado Water Science Center,USGS-09086000,"WEST ELK CREEK NEAR NEW CASTLE, CO",Stream,14010005,39.6663695,-107.6270045,6760,28702,37343,COLCLC05,COLCLC05_A,1,"All tributaries to the Colorado River, including wetlands, which are within the boundaries of White River National Forest, except for the specific listing in Segments 9a and 9c.",19.92330266,COLCLC05_A
USGS-CO,USGS Colorado Water Science Center,USGS-09086470,"MAIN ELK CREEK NEAR NEW CASTLE, CO.",Stream,14010005,39.6780363,-107.5731137,6120,28751,37410,COLCLC07a,COLCLC07a_A,1,"Mainstem of Mitchell, Canyon, Elk, Garfield, Beaver, and Cache Creeks, including all tributaries and wetlands, from the boundary of the White River National Forest to their confluences with the Colorado River. Battlement Creek from the most downstream bo",23.27924377,COLCLC07a_A
USGS-CO,USGS Colorado Water Science Center,USGS-09086970,"EAST ELK CREEK AB BOILER CREEK NR NEW CASTLE, CO",Stream,14010005,39.6680364,-107.5250561,6800,28643,37275,COLCLC05,COLCLC05_A,1,"All tributaries to the Colorado River, including wetlands, which are within the boundaries of White River National Forest, except for the specific listing in Segments 9a and 9c.",24.18915819,COLCLC05_A
USGS-CO,USGS Colorado Water Science Center,USGS-09087600,"COLORADO RIVER AT NEW CASTLE, CO.",Stream,14010005,39.5677585,-107.5445001,5500,26936,35067,COLCLC01,COLCLC01_A,5,Colorado River from Paradise Creek to below the confluence with Rifle Creek,49.03486105,COLCLC01_A
USGS-CO,USGS Colorado Water Science Center,USGS-09089500,"WEST DIVIDE CREEK NEAR RAVEN, CO",Stream,14010005,39.3310919,-107.5800562,7050,24248,31738,COLCLC07b,COLCLC07b_A,1,"Mainstem of Divide Creek, including all tributaries and wetlands, from the boundary of the White River National Forest to the confluence with the Colorado River.",10.16769156,COLCLC07b_A
USGS-CO,USGS Colorado Water Science Center,USGS-09091100,"MAMM CREEK NEAR SILT, CO",Stream,14010005,39.5316472,-107.7139504,5375,26464,34533,COLCLC04a,COLCLC04a_B,5,Mamm Creek,11.30838345,COLCLC04a_B
USGS-CO,USGS Colorado Water Science Center,USGS-09093700,"COLORADO RIVER NEAR DE BEQUE, CO.",Stream,14010005,39.3624786,-108.152579,4940,24701,32351,COLCLC02a,COLCLC02a_A,3b,Mainstem of the Colorado River from immediately below the confluence with Rifle Creek to immediately above the confluence of Rapid Creek.,36.23358334,COLCLC02a_A
USGS-CO,USGS Colorado Water Science Center,USGS-09095000,"ROAN CREEK NEAR DE BEQUE, CO.",Stream,14010005,39.4533112,-108.3170305,5380,25423,33302,COLCLC14c,COLCLC14c_C,5,"Roan Creek and tributaries including Conn Cr, Logan Wash, Bloat Gulch and Gibler Gulch",5.686707062,COLCLC14c_C
