AUID,PortionDes
COUCUC03_E,Colorado River from Derby Creek to the confluence with the Roaring Fork River
COUCUC04_A,"All tributaries to the Colorado River, including all wetlands, from the outlet of Lake Granby to the confluence with the Roaring Fork River, which are on National Forest lands, except for those tributaries included in Segments 1 and 2, and specific listings"
COLCLC01_A,Colorado River from Paradise Creek to below the confluence with Rifle Creek
COLCLC01_B,Colorado River from Roaring Fork to Paradise Creek
COLCLC02a_A,Mainstem of the Colorado River from immediately below the confluence with Rifle Creek to immediately above the confluence of Rapid Creek.
COLCLC04a_A,"Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek"
COLCLC04a_B,Mamm Creek
COLCLC04a_C,Alkali Creek
COLCLC04a_D,South Canyon Creek sections above hot springs
COLCLC04c_A,South Canyon Creek from South Canyon Hot Springs to Colorado River
COLCLC04d_A,"The mainstem of Dry Hollow Creek, including all tributaries and wetlands, from the source to the confluence with the Colorado River."
COLCLC04e_A,Mainstem of Dry Creek including all tributaries and wetlands from the source to immediately above the Last Chance Ditch.
COLCLC05_A,"All tributaries to the Colorado River, including wetlands, which are within the boundaries of White River National Forest, except for the specific listing in Segments 9a and 9c."
COLCLC06_A,Mainstem of Oasis Creek including all tributaries and wetlands from the boundary of White River National Forest to the confluence with the Colorado River.
COLCLC07a_A,"Mainstem of Mitchell, Canyon, Elk, Garfield, Beaver, and Cache Creeks, including all tributaries and wetlands, from the boundary of the White River National Forest to their confluences with the Colorado River. Battlement Creek from the most downstream bo"
COLCLC07b_A,"Mainstem of Divide Creek, including all tributaries and wetlands, from the boundary of the White River National Forest to the confluence with the Colorado River."
COLCLC08_A,"Mainstem of Northwater and Trapper Creeks, including all tributaries and wetlands, from their sources to the confluence with the East Middle Fork of Parachute Creek. East Middle Fork of Parachute Creek, including all tributaries and wetlands, from the so"
COLCLC09a_A,"Middle Rifle Creek, including all tributaries and wetlands, from its source to the confluence with West Rifle Creek. East Rifle Creek, including all tributaries and wetlands, from the source to the boundary of the White River National Forest."
COLCLC09c_A,"Battlement Creek, including all tributaries and wetlands, from the source to the most downstream boundary of BLM lands."
COLCLC10_A,East Rifle Creek from the White River NF boundary to Rifle Gap Reservoir. Rifle Creek from Rifle Gap Reservoir to the Colorado River
COLCLC10_B,West Rifle Creek and tributaries
COLCLC11a_A,"Mainstem of the West Fork of Parachute Creek, including all tributaries, from its source to West Fork Falls. Mainstem of East Fork of Parachute Creek, including all tributaries and wetlands, from a point immediately below the mouth of First Anvil Creek t"
COLCLC11b_A,"Mainstem of the West Fork of Parachute Creek from West Fork Falls to the confluence with Parachute Creek; mainstem of the Middle Fork of Parachute Creek, including all tributaries, from the source to the confluence with East Middle Fork of Parachute Cree"
COLCLC11e_A,"That portion of the mainstem of the East Fork of Parachute Creek, including all tributaries and wetlands, within Sections 27, 28, and 29, T5S, R95W."
COLCLC11f_A,"Mainstem of the East Fork of Parachute Creek from the west boundary line of S29, T5S, R95W to the confluence with Middle Fork of Parachute Creek."
COLCLC11g_A,All tributaries to East Fork Parachute Creek on the south side of the East Fork Parachute Creek from a point immediately below First Anvil Creek to the confluence with Parachute Creek; all tributaries to Parachute Creek on the east side of Parachute Cree
COLCLC11h_A,"Mainstem of Parachute Creek, including all tributaries and wetlands, from the confluence of the West and East Forks to the confluence with the Colorado River except for specific listings in segment 11g."
COLCLC12b_A,"All tributaries and wetlands to the Colorado River from a point immediately below the confluence of Parachute Creek to a point immediately below the confluence with Roan Creek, except for the specific listings in segments 14a, 14b and 14c."
COLCLC13a_A,Tributaries to the Colorado River from below the confluence of Roan Creek to Colorado/Utah border except for Sulphur Gulch and tributaries
COLCLC13a_B,Sulphur Gulch and tributaries
COLCLC14a_A,"Mainstem of Roan Creek including all wetlands and tributaries, from its source to a point immediately above the confluence with Clear Creek, except for the specific listing in segment 14b. Clear Creek, including all tributaries and wetlands, from the sou"
COLCLC14b_A,"Clear Creek, including all tributaries and wetlands, from a point immediately below the confluence with Tom Creek to the confluence with Roan Creek. Roan Creek, including all tributaries and wetlands, from a point immediately above the confluence with Cl"
COLCLC14c_B,"North, South and mainstem of Dry Fork including tributaries"
COLCLC14c_C,"Roan Creek and tributaries including Conn Cr, Logan Wash, Bloat Gulch and Gibler Gulch"
COLCLC16_A,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15."
