ID305(B),Assessment Unit Name,Total Size,Unit,First Year,Designated Uses,Causes of Impairment,Impariment Sources,Category,Notes,Action
COLCLC01_A,Colorado River from Paradise Creek to below the confluence with Rifle Creek,29.97,miles,,"Ag-F, AQ_C1-F, Rec_E-F, WS-F","3b,Sediment; 5,Temp",,5,,
COLCLC01_B,Colorado River from Roaring Fork to Paradise Creek,4.19,miles,,"Ag-X, AQ_C2-X, Rec_N-X, WS-X","3b,Sediment; 5,Temp; 5,As-T",,5,,
COLCLC02a_A,Mainstem of the Colorado River from immediately below the confluence with Rifle Creek to immediately above the confluence of Rapid Creek.,49.99,miles,,"Ag-F, AQ_C2-F, Rec_N-F, WS-NA","3b,Sediment",,3b,,
COLCLC04a_A,"Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",157.12,miles,,"Ag-F, AQ_C1-F, Rec_N-F, WS-NA","3b,Temp; 3b,TP; 3b,SO4; 5,Se-D",,5,,
COLCLC04a_B,Mamm Creek,31.67,miles,,"Ag-F, AQ_C1-F, Rec_E-I, WS-N","3b,Temp; 3b,TP; 3b,SO4; 5,Se-D; 5,Fe-Trec",,5,,
COLCLC04a_C,Alkali Creek,14.25,miles,,"Ag-X, AQ_C2-X, Rec_P-X, WS-X","3b,SO4; 3b,Temp; 3b,TP; 5,Se-D",,5,,
COLCLC04a_D,South Canyon Creek sections above hot springs,9.19,miles,,"Ag-F, AQ_C1-F, Rec_E-F, WS-N","3b,SO4; 3b,Temp; 3b,TP; 5,Fe-Trec; 5,Se-D",,5,,
COLCLC04b_A,South Canyon Hot Springs.,0.13,miles,,"Ag-F, AQ_C1-N, Rec_E-F, WS-F","3b,DO; 3b,Pb-D",,3b,,
COLCLC04c_A,South Canyon Creek from South Canyon Hot Springs to Colorado River,0.77,miles,,"Ag-X, AQ_C1-X, Rec_E-X, WS-X","3b,E.ColiS; 5,As-T",,5,,
COLCLC04d_A,"The mainstem of Dry Hollow Creek, including all tributaries and wetlands, from the source to the confluence with the Colorado River.",14.27,miles,,"Ag-F, AQ_C1-F, Rec_P-F, WS-F",,,3a,,
COLCLC04e_A,Mainstem of Dry Creek including all tributaries and wetlands from the source to immediately above the Last Chance Ditch.,9.6,miles,,"Ag-F, AQ_C2-N, Rec_N-F, WS-I","3b,Cd-D; 3b,Cu-D; 3b,Se-D",,3b,,
COLCLC04f_A,Mainstem of Dry Creek including all tributaries and wetlands from a point immediately above the Last Chance Ditch to the confluence with the Colorado River.,0.41,miles,,"Ag-F, AQ_C2-I, Rec_N-F, WS-NA",,,1,,
COLCLC05_A,"All tributaries to the Colorado River, including wetlands, which are within the boundaries of White River National Forest, except for the specific listing in Segments 9a and 9c.",309.01,miles,,"Ag-X, AQ_C2-N, Rec_N-F, WS-I",,,1,,
COLCLC06_A,Mainstem of Oasis Creek including all tributaries and wetlands from the boundary of White River National Forest to the confluence with the Colorado River.,2.65,miles,,"Ag-F, AQ_C1-F, Rec_P-F, WS-F",,,1,,
COLCLC07a_A,"Mainstem of Mitchell, Canyon, Elk, Garfield, Beaver, and Cache Creeks, including all tributaries and wetlands, from the boundary of the White River National Forest to their confluences with the Colorado River. Battlement Creek from the most downstream bo",137.76,miles,,"Ag-F, AQ_C1-I, Rec_P-I, WS-F",,,1,,
