"MonitoringLocationID","OrganizationID","OrganizationName","MonitoringLocationName","MonitoringLocationType","HUC8","Latitude","Longitude","VerticalMe","OBJECTID","SGEOID","WBID","AUID","Cat","PortionDes","distance","SegmentID","n","org","start","end","paramCount","paramNames"
"11NPSWRD_WQX-HALA_3P_HNGLK01","11NPSWRD_WQX","National Park Service Water Resources Division","Hanging Lake","Lake",14010001,39.60139444,-107.191725,NA,NA,NA,"COUCUC04","COUCUC04_A","1","All tributaries to the Colorado River, including all wetlands, from the outlet of Lake Granby to the confluence with the Roaring Fork River, which are on National Forest lands, except for those tributaries included in Segments 1 and 2, and specific listings",NA,"COUCUC04_A",639,"11NPSWRD_WQX",2015,2015,212,"(+/-)11-nor-9-carboxy-delta-THC;  .alpha.,.alpha.-Dimethylphenethylamine;  1-(Aminomethyl)cyclohexaneacetic acid;  1-Phenethyl-4-(phenylpropionylamino)piperidine;  10,11-Dihydro-10-hydroxy Carbamazepine;  2-Chloro-4-isopropylamino-6-amino-s-triazine;  2-Choro-6-ethylamino-4-amino-s-triazine;  2-ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine;  2,4-D;  2,4,5-T;  3-Hydroxycarbofuran;  6-Acetylmorphine;  Acebutolol;  Acetamide, 2-(diethylamino)-N-(2,6-dimethylphenyl)-;  Acetaminophen;  Acetochlor;  Acetochlor OA;  Alachlor;  Alachlor OA;  Aldicarb;  Aldicarb sulfone;  Aldicarb sulfoxide;  Amitriptyline;  Amitriptyline (+/-)-E-10-hydroxylated;  Amphetamine;  Aripiprazole;  Atenolol;  Atorvastatin;  Atraton;  Atrazine;  Azoxystrobin;  Bentazon;  Benzeneacetic acid, .alpha.-methyl-4-(2-methylpropyl)-;  Benzenemethanol, .alpha.-[(1S)-1-(methylamino)ethyl]-, (.alpha.S)-;  Benzoylecgonine;  Bezafibrate;  Bromacil;  Bromoxynil;  Buprenorphine;  Bupropion;  Butachlor ESA;  Butylparaben;  Caffeine;  Carbamazepine;  Carbamazepine 10,11 epoxide;  Carbaryl;  Carbofuran;  Carisoprodol;  Celecoxib;  Chloramphenicol;  Chlorimuron-ethyl;  Chlorpheniramine;  Chlorsulfuron;  Chlorthal-Monomethyl;  Clenbuterol;  Clothianidin;  Cocaethylene;  Cocaine;  Codeine;  Cotinine;  Cyanazine;  Dehydroaripiprazole;  Desmethylcitalopram;  Desmethylvenlafaxine;  Dextromethorphan;  Dextrorphan;  Diazinon;  Dichlorprop;  Diclofenac;  Diclofenac, 4-hydroxy;  Diltiazem;  Dimethachlor;  Dimethenamid;  Dimethenamid ESA;  Disopyramide;  Disulfoton sulfone;  Diuron;  Diuron Metabolite;  Donepezil;  Duloxetine;  Ecgonine Methyl Ester;  Erythromycin;  Erythromycin-anhydro;  Escitalopram;  Ethanamine, 2-(diphenylmethoxy)-N,N-dimethyl-;  Ethoprop;  Famotidine;  Fipronil;  Fipronil Sulfide;  Fipronil Sulfone;  Fluconazole;  Fluoxetine;  Fluticasone propionate;  Foramsulfuron;  Furosemide;  Gemfibrozil;  Glyburide;  Hexazinone;  Hydrochlorothiazide;  Hydrocodone;  Hydromorphone;  Hydroxybupropion;  Imazaquin;  Imazethapyr;  Imidacloprid;  Ketoconazole;  Ketoprofen;  Lamotrigine;  Lederfen;  Levorphanol;  Linuron;  Loratadine;  Lorazepam;  m-Hydroxybenzoylecgonine;  Malathion;  MDA;  MDEA;  MDMA;  Mecoprop;  Mefenamic acid;  Meperidine;  Meprobamate;  Metalaxyl;  Metaxalone;  Metformin;  Methadone;  Methamphetamine;  Methiocarb;  Methomyl;  Methylparaben;  Methylphenidate;  Metolachlor;  Metolachlor ESA;  Metoprolol;  Metribuzin;  Mevastatin;  Modafinil;  Modafinil acid;  Monoethylglycinexylidide;  Montelukast;  Monuron;  Morphinan-6-one, 4,5-epoxy-14-hydroxy-3-methoxy-17-methyl-, (5.alpha.)-;  Morphine;  Morpholine, 3-methyl-2-phenyl-;  N-Phenyl-N-(4-piperidinyl)propanamide;  N,N-Diethyl-m-toluamide;  Naproxen;  Neburon;  Nifedipine;  Norfluoxetine;  Normeperidine;  Norquetiapine;  Norsertraline;  Norverapamil;  Omeprazole;  Oryzalin;  Oxamyl;  Oxazepam;  Oxcarbazepine;  Oxidized Nifedipine;  Oxymorphone;  Paroxetine;  Phenobarbital;  Phenylpropanolamine;  Phenytoin;  Pioglitazone;  Pravastatin;  Pregabalin;  Primidone;  Prometon;  Propachlor;  Propachlor ESA;  Propachlor OA;  Propazine;  Propiconazole;  Propoxur;  Propranol;  Quetiapine;  Ritalinic acid;  S-Ethyl dipropylthiocarbamate;  Salbutamol;  Sertraline;  Sildenafil;  Silvex;  Simazine;  Simvastatin;  Sotalol;  Sulfamethazine;  Sulfamethoxazole;  Sulfometuron methyl;  Sumatriptan;  Tadalafil;  Tebuconazole;  Tebuthiuron;  Temazepam;  Terbuthylazine;  Thiabendazole;  Thiamethoxam;  Tramadol;  Trazodone;  Triamterene;  Triclocarban;  Triclopyr;  Triclosan;  Trimethoprim;  Tylosin;  Valsartan;  Venlafaxine;  Verapamil;  Warfarin;  Zolpidem;  Zolpidem phenyl-4-carboxylic acid;  "
"11NPSWRD_WQX-HALA_3P_SPOUT01","11NPSWRD_WQX","National Park Service Water Resources Division","Spouting Rock","Spring",14010001,39.60165833,-107.1921028,NA,NA,NA,"COUCUC04","COUCUC04_A","1","All tributaries to the Colorado River, including all wetlands, from the outlet of Lake Granby to the confluence with the Roaring Fork River, which are on National Forest lands, except for those tributaries included in Segments 1 and 2, and specific listings",NA,"COUCUC04_A",213,"11NPSWRD_WQX",2015,2015,212,"(+/-)11-nor-9-carboxy-delta-THC;  .alpha.,.alpha.-Dimethylphenethylamine;  1-(Aminomethyl)cyclohexaneacetic acid;  1-Phenethyl-4-(phenylpropionylamino)piperidine;  10,11-Dihydro-10-hydroxy Carbamazepine;  2-Chloro-4-isopropylamino-6-amino-s-triazine;  2-Choro-6-ethylamino-4-amino-s-triazine;  2-ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine;  2,4-D;  2,4,5-T;  3-Hydroxycarbofuran;  6-Acetylmorphine;  Acebutolol;  Acetamide, 2-(diethylamino)-N-(2,6-dimethylphenyl)-;  Acetaminophen;  Acetochlor;  Acetochlor OA;  Alachlor;  Alachlor OA;  Aldicarb;  Aldicarb sulfone;  Aldicarb sulfoxide;  Amitriptyline;  Amitriptyline (+/-)-E-10-hydroxylated;  Amphetamine;  Aripiprazole;  Atenolol;  Atorvastatin;  Atraton;  Atrazine;  Azoxystrobin;  Bentazon;  Benzeneacetic acid, .alpha.-methyl-4-(2-methylpropyl)-;  Benzenemethanol, .alpha.-[(1S)-1-(methylamino)ethyl]-, (.alpha.S)-;  Benzoylecgonine;  Bezafibrate;  Bromacil;  Bromoxynil;  Buprenorphine;  Bupropion;  Butachlor ESA;  Butylparaben;  Caffeine;  Carbamazepine;  Carbamazepine 10,11 epoxide;  Carbaryl;  Carbofuran;  Carisoprodol;  Celecoxib;  Chloramphenicol;  Chlorimuron-ethyl;  Chlorpheniramine;  Chlorsulfuron;  Chlorthal-Monomethyl;  Clenbuterol;  Clothianidin;  Cocaethylene;  Cocaine;  Codeine;  Cotinine;  Cyanazine;  Dehydroaripiprazole;  Desmethylcitalopram;  Desmethylvenlafaxine;  Dextromethorphan;  Dextrorphan;  Diazinon;  Dichlorprop;  Diclofenac;  Diclofenac, 4-hydroxy;  Diltiazem;  Dimethachlor;  Dimethenamid;  Dimethenamid ESA;  Disopyramide;  Disulfoton sulfone;  Diuron;  Diuron Metabolite;  Donepezil;  Duloxetine;  Ecgonine Methyl Ester;  Erythromycin;  Erythromycin-anhydro;  Escitalopram;  Ethanamine, 2-(diphenylmethoxy)-N,N-dimethyl-;  Ethoprop;  Famotidine;  Fipronil;  Fipronil Sulfide;  Fipronil Sulfone;  Fluconazole;  Fluoxetine;  Fluticasone propionate;  Foramsulfuron;  Furosemide;  Gemfibrozil;  Glyburide;  Hexazinone;  Hydrochlorothiazide;  Hydrocodone;  Hydromorphone;  Hydroxybupropion;  Imazaquin;  Imazethapyr;  Imidacloprid;  Ketoconazole;  Ketoprofen;  Lamotrigine;  Lederfen;  Levorphanol;  Linuron;  Loratadine;  Lorazepam;  m-Hydroxybenzoylecgonine;  Malathion;  MDA;  MDEA;  MDMA;  Mecoprop;  Mefenamic acid;  Meperidine;  Meprobamate;  Metalaxyl;  Metaxalone;  Metformin;  Methadone;  Methamphetamine;  Methiocarb;  Methomyl;  Methylparaben;  Methylphenidate;  Metolachlor;  Metolachlor ESA;  Metoprolol;  Metribuzin;  Mevastatin;  Modafinil;  Modafinil acid;  Monoethylglycinexylidide;  Montelukast;  Monuron;  Morphinan-6-one, 4,5-epoxy-14-hydroxy-3-methoxy-17-methyl-, (5.alpha.)-;  Morphine;  Morpholine, 3-methyl-2-phenyl-;  N-Phenyl-N-(4-piperidinyl)propanamide;  N,N-Diethyl-m-toluamide;  Naproxen;  Neburon;  Nifedipine;  Norfluoxetine;  Normeperidine;  Norquetiapine;  Norsertraline;  Norverapamil;  Omeprazole;  Oryzalin;  Oxamyl;  Oxazepam;  Oxcarbazepine;  Oxidized Nifedipine;  Oxymorphone;  Paroxetine;  Phenobarbital;  Phenylpropanolamine;  Phenytoin;  Pioglitazone;  Pravastatin;  Pregabalin;  Primidone;  Prometon;  Propachlor;  Propachlor ESA;  Propachlor OA;  Propazine;  Propiconazole;  Propoxur;  Propranol;  Quetiapine;  Ritalinic acid;  S-Ethyl dipropylthiocarbamate;  Salbutamol;  Sertraline;  Sildenafil;  Silvex;  Simazine;  Simvastatin;  Sotalol;  Sulfamethazine;  Sulfamethoxazole;  Sulfometuron methyl;  Sumatriptan;  Tadalafil;  Tebuconazole;  Tebuthiuron;  Temazepam;  Terbuthylazine;  Thiabendazole;  Thiamethoxam;  Tramadol;  Trazodone;  Triamterene;  Triclocarban;  Triclopyr;  Triclosan;  Trimethoprim;  Tylosin;  Valsartan;  Venlafaxine;  Verapamil;  Warfarin;  Zolpidem;  Zolpidem phenyl-4-carboxylic acid;  "
"21COL001-000047","21COL001","Colorado Dept. of Public Health & Environment","COLORADO RIVER AT NEW CASTLE","River/Stream",14010005,39.5658333,-107.4666667,NA,26979,35120,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",250.2224736,"COLCLC04a_A",4133,"21COL001",1988,2008,37,"Alkalinity, total;  Aluminum;  Ammonia;  Ammonia-nitrogen;  Ammonia-nitrogen as N;  Arsenic;  Biochemical oxygen demand, standard conditions;  Boron;  Cadmium;  Chloride;  Chromium;  Copper;  Dissolved oxygen (DO);  Dissolved oxygen saturation;  Escherichia coli;  Fecal Coliform;  Fluoride;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  Mercury;  Molybdenum;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Uranium;  Zinc;  "
"21COL001-000147","21COL001","Colorado Dept. of Public Health & Environment","COLORADO RIVER AT RULISON","River/Stream",14010005,39.4944444,-107.9386111,NA,25771,33737,"COLCLC02a","COLCLC02a_A","3b","Mainstem of the Colorado River from immediately below the confluence with Rifle Creek to immediately above the confluence of Rapid Creek.",12.31051007,"COLCLC02a_A",603,"21COL001",1988,1992,26,"Alkalinity, total;  Ammonia;  Ammonia-nitrogen;  Ammonia-nitrogen as N;  Biochemical oxygen demand, standard conditions;  Cadmium;  Copper;  Cyanide;  Dissolved oxygen (DO);  Dissolved oxygen saturation;  Fecal Coliform;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  pH;  Phosphate-phosphorus as P;  Specific conductance;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Zinc;  "
"21COL001-000148","21COL001","Colorado Dept. of Public Health & Environment","ROAN CREEK NEAR DE BEQUE","River/Stream",14010005,39.3652778,-108.2522222,NA,24529,32107,"COLCLC14c","COLCLC14c_C","5","Roan Creek and tributaries including Conn Cr, Logan Wash, Bloat Gulch and Gibler Gulch",58.15798309,"COLCLC14c_C",1058,"21COL001",1988,2007,32,"Alkalinity, total;  Aluminum;  Ammonia;  Ammonia-nitrogen;  Ammonia-nitrogen as N;  Arsenic;  Biochemical oxygen demand, standard conditions;  Cadmium;  Copper;  Cyanide;  Dissolved oxygen (DO);  Dissolved oxygen saturation;  Escherichia coli;  Fecal Coliform;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  Mercury;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Zinc;  "
"21COL001-11103","21COL001","Colorado Dept. of Public Health & Environment","COLORADO R. @ CAMEO","River/Stream",14010005,39.1485,-108.31483,NA,22176,28913,"COLCLC02a","COLCLC02a_A","3b","Mainstem of the Colorado River from immediately below the confluence with Rifle Creek to immediately above the confluence of Rapid Creek.",44.87213543,"COLCLC02a_A",847,"21COL001",1999,2007,28,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Arsenic;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Fecal Coliform;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  Mercury;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Uranium;  Zinc;  "
"21COL001-11103B","21COL001","Colorado Dept. of Public Health & Environment","COLORADO R BLW PLATEAU CK AT ISLAND ACRES STATE REC. AREA","River/Stream",14010005,39.1661833,-108.3041666,0,22444,29311,"COLCLC02a","COLCLC02a_A","3b","Mainstem of the Colorado River from immediately below the confluence with Rifle Creek to immediately above the confluence of Rapid Creek.",30.10864455,"COLCLC02a_A",87,"21COL001",2007,2008,21,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, water;  Zinc;  "
"21COL001-11105","21COL001","Colorado Dept. of Public Health & Environment","COLORADO R. ABV PLATEAU CR.","River/Stream",14010005,39.1835,-108.2810556,4770,22543,29440,"COLCLC16","COLCLC16_A","3b","Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",13.68648174,"COLCLC16_A",5,"21COL001",2000,2000,1,"Selenium;  "
"21COL001-11107A","21COL001","Colorado Dept. of Public Health & Environment","COTTONWOOD CK NEAR RULISON","River/Stream",14010005,39.4725,-107.9646667,5396,25578,65229,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",14.59297431,"COLCLC04a_A",26,"21COL001",2000,2000,25,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Arsenic;  Cadmium;  Copper;  Dissolved oxygen (DO);  Fecal Coliform;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Lead;  Manganese;  Mercury;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Zinc;  "
"21COL001-11109A","21COL001","Colorado Dept. of Public Health & Environment","OASIS CK ABV DIVERSION @ 600 HIGHLANDS RD.","River/Stream",14010005,39.5667833,-107.3365667,NA,27375,35591,"COLCLC06","COLCLC06_A","1","Mainstem of Oasis Creek including all tributaries and wetlands from the boundary of White River National Forest to the confluence with the Colorado River.",4.527811419,"COLCLC06_A",108,"21COL001",2000,2007,25,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Arsenic;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  Mercury;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Zinc;  "
