"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"USGS-CO","USGS Colorado Water Science Center","USGS-09085100","COLORADO RIVER BELOW GLENWOOD SPRINGS, CO","Stream","",14010005,6014,"sq mi",NA,"",39.5549819,-107.337554,NA,5,"seconds","Interpolated from MAP.","NAD83",5700.75,"feet",15,"feet","Unknown.","NGVD29","US",8,45,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09085150","COLORADO R ABV SOUTH CANYON CR NR GLENWOOD SPGS CO","Stream","",14010005,6040,"sq mi",NA,"",39.5616667,-107.4066667,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5640,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,45,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09086000","WEST ELK CREEK NEAR NEW CASTLE, CO","Stream","",14010005,9.48,"sq mi",NA,"",39.6663695,-107.6270045,NA,5,"seconds","Interpolated from MAP.","NAD83",6760,"feet",15,"feet","Unknown.","NGVD29","US",8,45,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09086470","MAIN ELK CREEK NEAR NEW CASTLE, CO.","Stream","",14010005,91.4,"sq mi",NA,"",39.6780363,-107.5731137,NA,5,"seconds","Interpolated from MAP.","NAD83",6120,"feet",15,"feet","Unknown.","NGVD29","US",8,45,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09086970","EAST ELK CREEK AB BOILER CREEK NR NEW CASTLE, CO","Stream","",14010005,23.4,"sq mi",NA,"",39.6680364,-107.5250561,NA,5,"seconds","Interpolated from MAP.","NAD83",6800,"feet",15,"feet","Unknown.","NGVD29","US",8,45,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09087600","COLORADO RIVER AT NEW CASTLE, CO.","Stream","",14010005,6308,"sq mi",NA,"",39.5677585,-107.5445001,24000,5,"seconds","Interpolated from MAP.","NAD83",5500,"feet",15,"feet","Unknown.","NGVD29","US",8,45,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09089500","WEST DIVIDE CREEK NEAR RAVEN, CO","Stream","",14010005,64.6,"sq mi",NA,"",39.3310919,-107.5800562,24000,5,"seconds","Interpolated from MAP.","NAD83",7050,"feet",15,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09091100","MAMM CREEK NEAR SILT, CO","Stream","",14010005,63.2,"sq mi",NA,"",39.5316472,-107.7139504,NA,5,"seconds","Interpolated from MAP.","NAD83",5375,"feet",15,"feet","Interpolated from topographic map.","NGVD29","US",8,45,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09093700","COLORADO RIVER NEAR DE BEQUE, CO.","Stream","",14010005,7370,"sq mi",NA,"",39.3624786,-108.152579,NA,5,"seconds","Interpolated from MAP.","NAD83",4940,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09095000","ROAN CREEK NEAR DE BEQUE, CO.","Stream","",14010005,321,"sq mi",NA,"",39.4533112,-108.3170305,NA,5,"seconds","Interpolated from MAP.","NAD83",5380,"feet",15,"feet","Unknown.","NGVD29","US",8,45,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09095300","DRY FORK AT UPPER STATION, NEAR DE BEQUE CO.","Stream","",14010005,97.4,"sq mi",97.4,"sq mi",39.3747007,-108.3178636,24000,1,"seconds","Interpolated from MAP.","NAD83",5385,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,45,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09095400","DRY FORK NEAR DE BEQUE, CO.","Stream","",14010005,109,"sq mi",NA,"",39.3688676,-108.2620282,NA,5,"seconds","Interpolated from MAP.","NAD83",5085,"feet",15,"feet","Unknown.","NGVD29","US",8,45,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09095500","COLORADO RIVER NEAR CAMEO, CO.","Stream","",14010005,7986,"sq mi",NA,"",39.2391463,-108.2661946,24000,1,"seconds","Interpolated from MAP.","NAD83",4813.73,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09095529","CAMP NO. 7 SPILLWAY NEAR MACK, CO.","Stream","",14010005,NA,"",NA,"",39.2727573,-108.832881,NA,5,"seconds","Interpolated from MAP.","NAD83",4720,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09097500","BUZZARD CREEK NEAR COLLBRAN, CO","Stream","",14010005,143,"sq mi",NA,"",39.2722015,-107.8506206,24000,5,"seconds","Interpolated from MAP.","NAD83",6955,"feet",15,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09097900","PLATEAU CREEK BELOW COLLBRAN, CO","Stream","",14010005,327,"sq mi",NA,"",39.2397009,-107.971459,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5920,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09100000","BIG CREEK NEAR COLLBRAN, CO.","Stream","",14010005,27.1,"sq mi",NA,"",39.1949791,-107.9611802,NA,5,"seconds","Interpolated from MAP.","NAD83",6900,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09104000","COON CREEK NEAR MESA, CO.","Stream","",14010005,9.35,"sq mi",NA,"",39.106647,-108.1334097,NA,5,"seconds","Interpolated from MAP.","NAD83",6910,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09105000","PLATEAU CREEK NEAR CAMEO, CO","Stream","",14010005,592,"sq mi",NA,"",39.1836111,-108.2683333,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",4840,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09106150","COLO RIVER BELOW GRAND VALLEY DIV NR PALISADE, CO","Stream","",14010005,8813,"sq mi",NA,"",39.0985923,-108.355086,24000,5,"seconds","Interpolated from MAP.","NAD83",4670,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09106200","LEWIS WASH NEAR GRAND JUNCTION, CO.","Stream","",14010005,4.72,"sq mi",NA,"",39.0605371,-108.4778683,NA,5,"seconds","Interpolated from MAP.","NAD83",4610,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09106500","COLORADO RIVER AT GRAND JUNCTION, CO","Stream","",14010005,NA,"",NA,"",39.0544262,-108.5656491,24000,1,"seconds","Interpolated from MAP.","NAD83",4540,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09152650","LEACH CREEK AT DURHAM, CO","Stream","",14010005,24.9,"sq mi",NA,"",39.0908147,-108.607595,24000,5,"seconds","Interpolated from MAP.","NAD83",4540,"feet",15,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09152900","ADOBE CREEK NEAR FRUITA, CO.","Stream","",14010005,15.4,"sq mi",NA,"",39.1369254,-108.6973205,NA,5,"seconds","Interpolated from MAP.","NAD83",4520,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09153000","COLORADO RIVER NEAR FRUITA, CO.","Stream","",14010005,17100,"sq mi",NA,"",39.137481,-108.7309327,NA,5,"seconds","Interpolated from MAP.","NAD83",4490,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09153270","BIG SALT WASH AT FRUITA, CO.","Stream","",14010005,142,"sq mi",NA,"",39.1635918,-108.7509334,NA,5,"seconds","Interpolated from MAP.","NAD83",4480,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09153290","REED WASH NEAR MACK, CO.","Stream","",14010005,15.8,"sq mi",15.7,"sq mi",39.2113692,-108.8037133,NA,1,"seconds","Interpolated from MAP.","NAD83",4505,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09153300","REED WASH NEAR LOMA, CO.","Stream","",14010005,29.3,"sq mi",NA,"",39.1835917,-108.7873237,24000,5,"seconds","Interpolated from MAP.","NAD83",4470,"feet",15,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09153400","WEST SALT CREEK NEAR MACK, CO.","Stream","",14010005,168,"sq mi",NA,"",39.3085902,-108.9837197,NA,5,"seconds","Interpolated from MAP.","NAD83",4740,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09163310","EAST SALT CREEK NEAR MACK, CO.","Stream","",14010005,197,"sq mi",NA,"",39.2972014,-108.866771,NA,5,"seconds","Interpolated from MAP.","NAD83",4650,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09163490","SALT CREEK NEAR MACK, CO.","Stream","",14010005,436,"sq mi",NA,"",39.2216472,-108.8928833,NA,5,"seconds","Interpolated from MAP.","NAD83",4440,"feet",15,"feet","Unknown.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-09163500","COLORADO RIVER NEAR COLORADO-UTAH STATE LINE","Stream","",14010005,17849,"sq mi",NA,"",39.1327605,-109.0270546,24000,1,"seconds","Interpolated from MAP.","NAD83",4325,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-385928108411901","UPPER NO THOROUGHFARE CANYON, BELOW THE FORKS","Stream","",14010005,NA,"",NA,"",38.9910938,-108.6892644,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",6360,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
